ticket_id,created_at,resolved_at,priority,category,agent,team,status,location,satisfaction_score
INC-101121,2025-07-13 08:00:00,2025-07-13 11:21:01.043246306,Critical,VPN,Priya Sharma,Service Desk,Resolved,Remote,2.6
INC-100410,2025-07-13 08:00:00,,Low,Access Request,David Ross,Infrastructure,Pending,Cologne,
INC-100839,2025-07-13 11:00:00,,High,Security Incident,Tim Bauer,Network,In Progress,Remote,
INC-101038,2025-07-13 12:00:00,2025-07-14 14:34:28.906810578,High,Hardware,Tim Bauer,Network,Resolved,Munich,2.8
INC-100889,2025-07-13 18:00:00,,High,Hardware,Tim Bauer,Network,In Progress,Munich,
INC-100478,2025-07-14 06:00:00,2025-07-14 17:27:02.902469222,High,Hardware,David Ross,Infrastructure,Resolved,Berlin,3.4
INC-100415,2025-07-14 07:00:00,2025-07-15 05:16:13.118772720,Medium,Onboarding,Jonas Weber,Infrastructure,Resolved,Frankfurt,4.9
INC-100233,2025-07-14 16:00:00,,Medium,Software,Nina Falk,Infrastructure,Open,Hamburg,
INC-100540,2025-07-15 01:00:00,2025-07-15 21:29:39.207834984,Medium,Access Request,Emre Kaya,Applications,Closed,Remote,3.8
INC-100300,2025-07-15 04:00:00,,Low,Hardware,David Ross,Infrastructure,Open,Berlin,
INC-101167,2025-07-15 06:00:00,2025-07-17 11:50:27.134385411,Low,Software,Kevin Zhang,Network,Resolved,Frankfurt,5.0
INC-100369,2025-07-15 07:00:00,2025-07-16 22:38:05.075295720,Low,Software,Emre Kaya,Applications,Resolved,Munich,4.1
INC-100170,2025-07-15 10:00:00,2025-07-17 23:36:08.417484895,Medium,Network,Sofia Lang,Applications,Resolved,Remote,3.9
INC-100272,2025-07-15 11:00:00,2025-07-17 06:51:17.195596440,Medium,Software,Priya Sharma,Service Desk,Resolved,Remote,4.5
INC-100821,2025-07-15 18:00:00,,High,Onboarding,Emre Kaya,Applications,In Progress,Hamburg,
INC-101180,2025-07-15 22:00:00,,High,Onboarding,Nina Falk,Infrastructure,Open,Remote,
INC-100454,2025-07-15 23:00:00,2025-07-17 22:22:20.652057080,Low,Network,Alice Brown,Service Desk,Resolved,Munich,4.5
INC-100429,2025-07-16 00:00:00,2025-07-16 13:03:30.333742172,High,Access Request,Noah Fischer,Security,Resolved,Frankfurt,3.4
INC-100830,2025-07-16 23:00:00,2025-07-17 12:44:58.129859568,Medium,Hardware,Jonas Weber,Infrastructure,Resolved,Hamburg,3.7
INC-100138,2025-07-17 09:00:00,2025-07-19 04:24:58.922012760,Low,Network,Alice Brown,Service Desk,Resolved,Frankfurt,4.1
INC-100385,2025-07-17 15:00:00,2025-07-20 18:58:20.971755403,Low,Network,Alice Brown,Service Desk,Closed,Munich,4.3
INC-100787,2025-07-17 18:00:00,2025-07-18 23:29:27.087792668,Critical,Software,Sofia Lang,Applications,Closed,Cologne,2.6
INC-100147,2025-07-18 07:00:00,,High,Hardware,Marco Klein,Service Desk,Open,Remote,
INC-100663,2025-07-18 10:00:00,2025-07-19 05:49:32.520649967,High,Access Request,Marco Klein,Service Desk,Resolved,Berlin,4.0
INC-100970,2025-07-18 15:00:00,2025-07-20 06:20:17.999454997,Low,VPN,Nina Falk,Infrastructure,Resolved,Cologne,4.1
INC-100844,2025-07-18 16:00:00,2025-07-21 11:22:26.232894714,Medium,Onboarding,Priya Sharma,Service Desk,Resolved,Remote,3.1
INC-100117,2025-07-18 22:00:00,,Low,Email,Emre Kaya,Applications,In Progress,Berlin,
INC-100328,2025-07-18 23:00:00,2025-07-19 02:24:11.587339835,High,Software,Olivia Reed,Network,Closed,Munich,3.9
INC-100870,2025-07-19 15:00:00,2025-07-20 19:53:58.120266397,Medium,Software,Alice Brown,Service Desk,Resolved,Berlin,3.1
INC-101099,2025-07-19 21:00:00,2025-07-21 02:03:45.868420549,Medium,Network,Tim Bauer,Network,Resolved,Munich,4.4
INC-101019,2025-07-19 23:00:00,2025-07-22 08:09:16.454579933,Low,Software,Kevin Zhang,Network,Resolved,Remote,4.4
INC-100250,2025-07-19 23:00:00,2025-07-21 13:15:27.350273161,Medium,Software,Kevin Zhang,Network,Resolved,Berlin,4.9
INC-100902,2025-07-20 03:00:00,2025-07-20 07:22:36.324800604,High,Network,Olivia Reed,Network,Resolved,Hamburg,3.8
INC-100817,2025-07-20 08:00:00,2025-07-21 11:04:25.154262175,Medium,Hardware,Sofia Lang,Applications,Resolved,Frankfurt,4.1
INC-100562,2025-07-20 10:00:00,2025-07-22 02:23:11.885218452,Medium,Access Request,Sofia Lang,Applications,Resolved,Berlin,4.4
INC-100056,2025-07-20 12:00:00,2025-07-25 06:26:23.221427172,Medium,VPN,Nina Falk,Infrastructure,Resolved,Frankfurt,4.3
INC-100811,2025-07-20 14:00:00,2025-07-21 00:55:18.536109305,Medium,Onboarding,Noah Fischer,Security,Resolved,Berlin,4.8
INC-101110,2025-07-20 17:00:00,2025-07-22 17:25:26.498786724,Medium,Network,Priya Sharma,Service Desk,Resolved,Frankfurt,3.5
INC-100397,2025-07-20 17:00:00,2025-07-22 05:05:48.494627461,Low,Access Request,Sofia Lang,Applications,Resolved,Frankfurt,3.7
INC-100352,2025-07-20 18:00:00,2025-07-21 13:07:10.611564307,Low,Access Request,Marco Klein,Service Desk,Closed,Hamburg,3.5
INC-100574,2025-07-21 19:00:00,2025-07-23 09:11:32.016306388,Medium,Hardware,Marta Novak,Security,Resolved,Remote,3.9
INC-100699,2025-07-22 00:00:00,,Low,Security Incident,Noah Fischer,Security,In Progress,Frankfurt,
INC-100848,2025-07-22 09:00:00,,High,Security Incident,Nina Falk,Infrastructure,Open,Remote,
INC-100584,2025-07-22 11:00:00,2025-07-23 12:48:16.053805559,High,Access Request,Marco Klein,Service Desk,Closed,Munich,3.8
INC-100887,2025-07-22 17:00:00,,Critical,Hardware,Kevin Zhang,Network,Open,Hamburg,
INC-100546,2025-07-22 19:00:00,2025-07-25 11:28:41.167201314,Medium,Access Request,Marco Klein,Service Desk,Resolved,Munich,4.1
INC-100898,2025-07-23 01:00:00,2025-07-24 22:25:07.593310418,Medium,Access Request,Emre Kaya,Applications,Closed,Frankfurt,5.0
INC-100542,2025-07-23 07:00:00,2025-07-25 05:57:05.366006674,Medium,Access Request,Noah Fischer,Security,Resolved,Frankfurt,4.3
INC-101026,2025-07-23 08:00:00,2025-07-23 14:42:59.946383057,Critical,Email,Noah Fischer,Security,Resolved,Berlin,2.9
INC-101021,2025-07-23 10:00:00,2025-07-24 03:30:11.422173657,Low,Hardware,Priya Sharma,Service Desk,Resolved,Munich,3.1
INC-100858,2025-07-23 17:00:00,2025-07-23 20:42:17.380258303,Medium,Network,Nina Falk,Infrastructure,Resolved,Berlin,3.6
INC-101136,2025-07-23 22:00:00,,Low,Software,Marta Novak,Security,Open,Berlin,
INC-100150,2025-07-23 23:00:00,,Low,Onboarding,Olivia Reed,Network,Open,Hamburg,
INC-100619,2025-07-24 16:00:00,2025-07-26 07:43:55.374220285,Medium,Access Request,Emre Kaya,Applications,Resolved,Cologne,5.0
INC-100036,2025-07-25 07:00:00,2025-07-26 22:41:31.606083412,High,Access Request,Priya Sharma,Service Desk,Resolved,Berlin,3.0
INC-100279,2025-07-25 14:00:00,,Medium,Software,Emre Kaya,Applications,Open,Cologne,
INC-101035,2025-07-25 23:00:00,2025-07-26 20:48:48.106213909,Low,Email,Kevin Zhang,Network,Closed,Frankfurt,5.0
INC-100518,2025-07-25 23:00:00,2025-07-29 22:00:18.818478985,Low,Email,Marta Novak,Security,Closed,Remote,4.0
INC-100387,2025-07-26 05:00:00,2025-07-28 06:54:57.514119079,Medium,Security Incident,Nina Falk,Infrastructure,Resolved,Remote,3.2
INC-100045,2025-07-26 07:00:00,2025-07-27 04:06:46.705329282,High,Hardware,Sofia Lang,Applications,Closed,Remote,3.4
INC-100899,2025-07-26 20:00:00,,Low,Software,Nina Falk,Infrastructure,Open,Munich,
INC-101022,2025-07-27 07:00:00,2025-07-28 11:43:37.233715496,Low,Email,David Ross,Infrastructure,Closed,Frankfurt,4.4
INC-100659,2025-07-27 09:00:00,2025-07-27 23:36:24.626167744,High,Hardware,Jonas Weber,Infrastructure,Resolved,Remote,4.2
INC-100069,2025-07-28 07:00:00,,High,Network,Alice Brown,Service Desk,Open,Frankfurt,
INC-101055,2025-07-28 09:00:00,2025-07-29 08:47:35.683470361,High,Email,Olivia Reed,Network,Closed,Cologne,4.4
INC-101027,2025-07-28 15:00:00,2025-07-28 21:24:03.833324267,Medium,Software,Jonas Weber,Infrastructure,Resolved,Berlin,3.8
INC-100217,2025-07-29 00:00:00,2025-07-30 03:53:26.086869309,Medium,Hardware,Kevin Zhang,Network,Resolved,Hamburg,4.1
INC-100127,2025-07-29 00:00:00,2025-07-30 00:07:46.523400827,Medium,Software,Priya Sharma,Service Desk,Resolved,Munich,3.9
INC-101096,2025-07-29 05:00:00,2025-07-29 20:24:15.493624478,Medium,Access Request,David Ross,Infrastructure,Closed,Berlin,3.7
INC-100439,2025-07-29 09:00:00,2025-07-29 18:16:51.612189805,Low,Software,Jonas Weber,Infrastructure,Resolved,Hamburg,3.8
INC-100280,2025-07-29 20:00:00,,Low,Access Request,Sofia Lang,Applications,Pending,Munich,
INC-101122,2025-07-30 04:00:00,2025-07-30 07:46:39.789064290,High,Access Request,Lina Schmitt,Service Desk,Closed,Hamburg,4.3
INC-100431,2025-07-30 06:00:00,2025-07-30 22:30:40.885110478,Medium,Software,Emre Kaya,Applications,Resolved,Cologne,4.2
INC-100246,2025-07-30 06:00:00,2025-07-30 14:00:05.272523792,Medium,Access Request,Kevin Zhang,Network,Resolved,Munich,4.1
INC-100678,2025-07-30 06:00:00,2025-08-01 22:43:40.791770397,Medium,Hardware,Alice Brown,Service Desk,Closed,Munich,4.7
INC-100881,2025-07-30 15:00:00,2025-07-31 14:30:53.077549223,High,Security Incident,Jonas Weber,Infrastructure,Resolved,Remote,2.6
INC-100007,2025-07-30 15:00:00,2025-07-31 01:44:32.810721998,Medium,Access Request,Kevin Zhang,Network,Resolved,Munich,3.5
INC-100753,2025-07-30 16:00:00,2025-08-02 04:46:48.250836241,Medium,Network,Lina Schmitt,Service Desk,Resolved,Munich,4.3
INC-100196,2025-07-31 00:00:00,2025-07-31 16:16:45.912519405,Medium,Email,Jonas Weber,Infrastructure,Resolved,Frankfurt,4.0
INC-100728,2025-07-31 01:00:00,2025-08-01 01:55:26.674381737,Low,Onboarding,Emre Kaya,Applications,Resolved,Berlin,4.8
INC-100001,2025-07-31 10:00:00,2025-08-01 16:23:57.329570483,High,Network,Nina Falk,Infrastructure,Resolved,Cologne,2.8
INC-100172,2025-07-31 14:00:00,2025-08-02 05:17:04.907529079,Medium,VPN,Emre Kaya,Applications,Resolved,Berlin,3.3
INC-100695,2025-07-31 15:00:00,2025-08-01 12:46:19.923418733,High,Onboarding,David Ross,Infrastructure,Closed,Remote,4.1
INC-100826,2025-07-31 16:00:00,2025-08-03 11:07:44.354992901,Medium,Software,Jonas Weber,Infrastructure,Closed,Berlin,3.5
INC-100133,2025-07-31 17:00:00,2025-08-04 00:31:25.442451193,Low,Security Incident,Priya Sharma,Service Desk,Resolved,Frankfurt,4.8
INC-100359,2025-07-31 19:00:00,2025-08-01 06:11:58.947915530,Medium,Software,Nina Falk,Infrastructure,Resolved,Munich,3.0
INC-100910,2025-08-01 00:00:00,,High,Network,Marta Novak,Security,Open,Cologne,
INC-100033,2025-08-01 02:00:00,2025-08-02 06:05:36.016475508,Medium,Software,Marco Klein,Service Desk,Closed,Cologne,3.1
INC-100581,2025-08-01 09:00:00,2025-08-02 05:47:50.759840581,High,Onboarding,Marta Novak,Security,Resolved,Hamburg,3.6
INC-100951,2025-08-01 10:00:00,2025-08-03 17:45:42.362980362,Medium,Hardware,Marco Klein,Service Desk,Closed,Remote,3.7
INC-100010,2025-08-01 14:00:00,2025-08-03 03:48:13.866997371,High,Access Request,David Ross,Infrastructure,Resolved,Remote,3.1
INC-100376,2025-08-01 16:00:00,2025-08-02 16:27:28.519186138,Medium,Network,Chris Miller,Applications,Resolved,Berlin,5.0
INC-100243,2025-08-01 17:00:00,,High,Network,Jonas Weber,Infrastructure,In Progress,Remote,
INC-100700,2025-08-01 19:00:00,,Medium,Software,David Ross,Infrastructure,Open,Berlin,
INC-100674,2025-08-01 19:00:00,2025-08-02 22:02:23.506418471,Medium,Network,Chris Miller,Applications,Closed,Berlin,4.3
INC-100977,2025-08-01 20:00:00,2025-08-02 21:12:41.358136976,Low,Network,Marta Novak,Security,Resolved,Munich,4.3
INC-100791,2025-08-01 23:00:00,2025-08-03 19:08:36.492478834,Low,Email,Tim Bauer,Network,Resolved,Remote,4.6
INC-100218,2025-08-02 03:00:00,2025-08-03 16:03:18.650033785,Low,Access Request,Nina Falk,Infrastructure,Resolved,Remote,4.9
INC-100087,2025-08-02 08:00:00,,Low,Access Request,David Ross,Infrastructure,In Progress,Remote,
INC-100588,2025-08-02 18:00:00,2025-08-03 22:56:38.420679219,Medium,Access Request,Tim Bauer,Network,Closed,Munich,4.0
INC-100891,2025-08-02 23:00:00,2025-08-05 09:34:16.816430563,Low,VPN,Priya Sharma,Service Desk,Resolved,Cologne,4.9
INC-100580,2025-08-03 09:00:00,2025-08-06 18:59:04.182144089,Low,Email,Lina Schmitt,Service Desk,Closed,Cologne,4.0
INC-100258,2025-08-03 19:00:00,2025-08-04 13:39:13.979675419,Medium,Software,Olivia Reed,Network,Closed,Remote,3.7
INC-101166,2025-08-04 04:00:00,,Low,Network,Lina Schmitt,Service Desk,Pending,Cologne,
INC-100516,2025-08-04 06:00:00,2025-08-04 17:32:50.461451593,High,Hardware,Marco Klein,Service Desk,Resolved,Frankfurt,3.4
INC-100460,2025-08-04 09:00:00,2025-08-04 13:17:38.496023060,High,Software,Chris Miller,Applications,Resolved,Munich,4.0
INC-100171,2025-08-04 11:00:00,2025-08-04 21:54:44.607018478,Critical,Software,Marco Klein,Service Desk,Resolved,Berlin,2.1
INC-100818,2025-08-04 12:00:00,2025-08-06 04:39:31.074918212,Medium,Onboarding,Sofia Lang,Applications,Resolved,Cologne,3.7
INC-100583,2025-08-04 14:00:00,,Medium,Access Request,Marco Klein,Service Desk,In Progress,Remote,
INC-100322,2025-08-04 20:00:00,2025-08-07 09:32:52.281903258,Medium,Access Request,Tim Bauer,Network,Resolved,Berlin,4.2
INC-100310,2025-08-05 01:00:00,2025-08-08 23:47:03.440167647,Low,Hardware,Marco Klein,Service Desk,Resolved,Frankfurt,4.6
INC-100480,2025-08-05 04:00:00,,Medium,Network,Priya Sharma,Service Desk,In Progress,Munich,
INC-100808,2025-08-05 12:00:00,2025-08-06 08:41:08.187609727,Medium,Hardware,Lina Schmitt,Service Desk,Closed,Munich,3.4
INC-100501,2025-08-06 07:00:00,,Medium,VPN,Marco Klein,Service Desk,Pending,Remote,
INC-100873,2025-08-06 07:00:00,2025-08-06 15:54:40.865031812,Low,Software,Alice Brown,Service Desk,Resolved,Frankfurt,4.8
INC-100120,2025-08-06 11:00:00,2025-08-07 08:16:21.179085487,Medium,VPN,Kevin Zhang,Network,Resolved,Frankfurt,4.1
INC-100538,2025-08-06 17:00:00,2025-08-08 15:22:36.922597352,Medium,Software,Nina Falk,Infrastructure,Resolved,Hamburg,4.3
INC-101020,2025-08-06 19:00:00,2025-08-07 07:05:41.651003603,High,Onboarding,Alice Brown,Service Desk,Resolved,Cologne,4.2
INC-100365,2025-08-06 20:00:00,2025-08-07 09:40:41.541894237,Medium,Onboarding,Kevin Zhang,Network,Resolved,Hamburg,4.7
INC-100726,2025-08-07 02:00:00,2025-08-07 21:43:07.171715452,High,Access Request,Kevin Zhang,Network,Resolved,Munich,2.7
INC-100198,2025-08-07 07:00:00,2025-08-08 20:11:21.729844190,Low,Software,Lina Schmitt,Service Desk,Closed,Hamburg,4.7
INC-100778,2025-08-07 10:00:00,2025-08-10 03:05:55.442477757,Low,Onboarding,Tim Bauer,Network,Resolved,Munich,4.3
INC-100497,2025-08-07 12:00:00,2025-08-08 21:07:58.663169058,High,Email,Lina Schmitt,Service Desk,Resolved,Berlin,3.0
INC-100313,2025-08-07 12:00:00,,Medium,Hardware,Kevin Zhang,Network,In Progress,Remote,
INC-100946,2025-08-07 14:00:00,,High,Security Incident,Jonas Weber,Infrastructure,Open,Frankfurt,
INC-101050,2025-08-07 17:00:00,,High,Software,Marta Novak,Security,Open,Remote,
INC-100724,2025-08-07 17:00:00,,Medium,Network,Marta Novak,Security,In Progress,Munich,
INC-101157,2025-08-07 20:00:00,2025-08-08 09:30:06.838602911,High,Access Request,Priya Sharma,Service Desk,Closed,Remote,2.7
INC-100863,2025-08-07 20:00:00,2025-08-08 16:18:34.513263125,Medium,Software,Lina Schmitt,Service Desk,Resolved,Berlin,5.0
INC-100418,2025-08-08 05:00:00,2025-08-08 22:50:26.647822105,High,Onboarding,Kevin Zhang,Network,Resolved,Berlin,4.7
INC-100784,2025-08-08 06:00:00,2025-08-10 11:59:37.487904412,Low,Hardware,Tim Bauer,Network,Resolved,Cologne,5.0
INC-100783,2025-08-08 10:00:00,2025-08-08 21:26:39.526570921,Critical,Access Request,Jonas Weber,Infrastructure,Resolved,Remote,3.3
INC-100386,2025-08-08 11:00:00,,Medium,Hardware,Olivia Reed,Network,Open,Cologne,
INC-100436,2025-08-08 16:00:00,2025-08-10 14:33:58.169488241,Medium,Onboarding,Sofia Lang,Applications,Resolved,Berlin,4.3
INC-100874,2025-08-08 23:00:00,2025-08-09 15:16:42.645402611,Low,Software,Jonas Weber,Infrastructure,Resolved,Berlin,5.0
INC-100157,2025-08-09 07:00:00,,Low,Network,Lina Schmitt,Service Desk,Pending,Munich,
INC-100221,2025-08-09 14:00:00,2025-08-10 11:36:09.188508927,Medium,Email,Alice Brown,Service Desk,Resolved,Hamburg,4.5
INC-100759,2025-08-09 16:00:00,2025-08-10 13:24:24.506612213,High,Software,Sofia Lang,Applications,Resolved,Berlin,4.7
INC-100018,2025-08-09 17:00:00,2025-08-10 19:55:17.107828595,Low,Software,Jonas Weber,Infrastructure,Resolved,Remote,4.7
INC-101005,2025-08-09 18:00:00,2025-08-11 00:56:27.658666740,Medium,Access Request,Priya Sharma,Service Desk,Resolved,Berlin,4.4
INC-100705,2025-08-10 00:00:00,2025-08-14 03:17:39.226278547,Low,Hardware,Marta Novak,Security,Closed,Hamburg,3.4
INC-100945,2025-08-10 00:00:00,2025-08-12 02:58:14.534371202,Low,Software,Nina Falk,Infrastructure,Resolved,Munich,5.0
INC-100074,2025-08-10 04:00:00,,High,VPN,Sofia Lang,Applications,In Progress,Berlin,
INC-100434,2025-08-10 10:00:00,2025-08-13 08:44:24.525984009,Low,VPN,Kevin Zhang,Network,Resolved,Cologne,5.0
INC-100414,2025-08-10 15:00:00,2025-08-11 09:02:38.222147295,Low,Software,Kevin Zhang,Network,Resolved,Cologne,3.7
INC-100670,2025-08-10 16:00:00,2025-08-13 10:40:54.276090413,Medium,Software,Nina Falk,Infrastructure,Closed,Berlin,4.4
INC-100443,2025-08-10 17:00:00,2025-08-14 03:24:44.522747388,Low,Software,Chris Miller,Applications,Resolved,Munich,4.3
INC-100948,2025-08-11 04:00:00,2025-08-12 04:29:38.748602278,Low,Hardware,Noah Fischer,Security,Resolved,Cologne,4.6
INC-100604,2025-08-11 07:00:00,2025-08-13 12:53:43.153241353,Low,Onboarding,Emre Kaya,Applications,Resolved,Berlin,5.0
INC-100823,2025-08-11 18:00:00,,Medium,Hardware,David Ross,Infrastructure,In Progress,Frankfurt,
INC-100682,2025-08-11 23:00:00,2025-08-14 08:23:32.250449521,Low,Hardware,David Ross,Infrastructure,Closed,Berlin,4.3
INC-100721,2025-08-12 09:00:00,2025-08-13 18:15:41.896228643,Medium,Hardware,Jonas Weber,Infrastructure,Resolved,Berlin,3.8
INC-100100,2025-08-12 12:00:00,2025-08-14 00:17:39.141474729,Low,Access Request,Marco Klein,Service Desk,Closed,Munich,2.8
INC-100620,2025-08-12 13:00:00,2025-08-14 10:27:08.429723224,Critical,VPN,Marco Klein,Service Desk,Resolved,Remote,4.4
INC-100118,2025-08-12 13:00:00,,Medium,Email,Priya Sharma,Service Desk,Open,Berlin,
INC-100769,2025-08-12 13:00:00,2025-08-13 01:21:20.560081224,Medium,Email,Priya Sharma,Service Desk,Resolved,Munich,5.0
INC-100306,2025-08-12 15:00:00,2025-08-14 15:36:50.242677516,Low,Email,Chris Miller,Applications,Resolved,Hamburg,4.4
INC-100241,2025-08-12 15:00:00,2025-08-13 01:17:00.082745298,High,Hardware,Priya Sharma,Service Desk,Resolved,Hamburg,3.5
INC-100462,2025-08-12 16:00:00,,High,VPN,Emre Kaya,Applications,In Progress,Berlin,
INC-100329,2025-08-12 21:00:00,2025-08-13 04:51:42.060692599,Medium,Access Request,Emre Kaya,Applications,Resolved,Remote,4.6
INC-101090,2025-08-12 23:00:00,2025-08-18 14:28:13.388755799,Low,Access Request,David Ross,Infrastructure,Closed,Remote,4.3
INC-101187,2025-08-13 04:00:00,2025-08-13 22:42:18.793457200,Low,Access Request,Alice Brown,Service Desk,Resolved,Berlin,3.6
INC-100834,2025-08-13 07:00:00,2025-08-15 19:30:40.593018335,Medium,Network,Marco Klein,Service Desk,Resolved,Munich,4.6
INC-100528,2025-08-13 12:00:00,2025-08-25 22:45:04.615708075,Low,Hardware,Sofia Lang,Applications,Resolved,Remote,4.8
INC-100408,2025-08-13 12:00:00,2025-08-15 06:31:23.174047846,Medium,Software,Marco Klein,Service Desk,Resolved,Remote,3.9
INC-101063,2025-08-13 13:00:00,2025-08-17 07:12:29.934280059,Low,Software,Marta Novak,Security,Resolved,Cologne,4.1
INC-100256,2025-08-13 16:00:00,2025-08-14 08:10:43.424895853,High,Software,Jonas Weber,Infrastructure,Resolved,Berlin,3.6
INC-100924,2025-08-13 19:00:00,2025-08-14 05:03:49.453574299,High,Software,Marta Novak,Security,Resolved,Berlin,3.3
INC-100522,2025-08-14 01:00:00,2025-08-15 20:32:15.519609261,High,Access Request,Alice Brown,Service Desk,Resolved,Berlin,3.5
INC-100752,2025-08-14 11:00:00,2025-08-15 22:59:30.280938381,Medium,Software,Marta Novak,Security,Closed,Cologne,3.6
INC-100975,2025-08-14 12:00:00,2025-08-14 17:11:01.033113547,Low,Email,Alice Brown,Service Desk,Resolved,Munich,4.3
INC-100457,2025-08-14 13:00:00,,Critical,Onboarding,Olivia Reed,Network,In Progress,Frankfurt,
INC-100938,2025-08-14 15:00:00,2025-08-14 19:29:10.732575708,Medium,Network,Marta Novak,Security,Resolved,Munich,3.7
INC-101104,2025-08-15 03:00:00,2025-08-15 23:11:45.554114229,Medium,VPN,Chris Miller,Applications,Resolved,Remote,3.9
INC-100357,2025-08-15 08:00:00,,Medium,Access Request,Marta Novak,Security,Open,Berlin,
INC-100273,2025-08-15 08:00:00,2025-08-16 23:02:37.219134644,Medium,Hardware,Tim Bauer,Network,Closed,Munich,3.2
INC-100182,2025-08-15 13:00:00,2025-08-16 22:13:08.431358925,Medium,Software,Kevin Zhang,Network,Resolved,Hamburg,4.4
INC-100390,2025-08-15 18:00:00,,Medium,Onboarding,Noah Fischer,Security,In Progress,Hamburg,
INC-100961,2025-08-15 19:00:00,,Medium,Email,Olivia Reed,Network,Pending,Munich,
INC-101046,2025-08-15 20:00:00,2025-08-17 09:58:35.375936835,Medium,Network,David Ross,Infrastructure,Closed,Berlin,3.7
INC-100536,2025-08-15 20:00:00,2025-08-17 07:16:37.046449572,High,Email,Alice Brown,Service Desk,Closed,Frankfurt,3.4
INC-100058,2025-08-16 00:00:00,2025-08-18 06:39:30.102329225,Low,Hardware,Alice Brown,Service Desk,Resolved,Frankfurt,3.9
INC-100884,2025-08-16 06:00:00,2025-08-17 04:27:30.445834290,Medium,Network,Alice Brown,Service Desk,Resolved,Berlin,4.0
INC-100533,2025-08-16 09:00:00,2025-08-17 10:51:10.469211943,Medium,Security Incident,Marco Klein,Service Desk,Resolved,Munich,4.0
INC-100847,2025-08-16 12:00:00,2025-08-17 21:54:57.229386287,High,Email,Olivia Reed,Network,Resolved,Remote,2.6
INC-100750,2025-08-16 19:00:00,2025-08-18 21:13:40.089888288,Low,Hardware,Lina Schmitt,Service Desk,Closed,Cologne,4.2
INC-100937,2025-08-16 21:00:00,2025-08-18 05:55:06.283275085,Medium,Hardware,Marta Novak,Security,Resolved,Hamburg,3.9
INC-100083,2025-08-17 13:00:00,2025-08-18 07:52:18.789065124,Medium,Software,Lina Schmitt,Service Desk,Closed,Munich,3.3
INC-100287,2025-08-17 15:00:00,,Medium,Software,David Ross,Infrastructure,Open,Berlin,
INC-100178,2025-08-17 16:00:00,2025-08-18 16:04:17.163248683,Medium,VPN,Lina Schmitt,Service Desk,Resolved,Cologne,3.7
INC-101076,2025-08-18 07:00:00,2025-08-19 01:07:05.600150877,Medium,Hardware,Tim Bauer,Network,Closed,Berlin,3.8
INC-100350,2025-08-18 12:00:00,2025-08-19 14:25:10.992361602,Medium,Access Request,Lina Schmitt,Service Desk,Resolved,Remote,3.6
INC-100041,2025-08-18 15:00:00,,Medium,Access Request,Noah Fischer,Security,Open,Berlin,
INC-100623,2025-08-18 15:00:00,2025-08-20 12:45:29.067042539,Medium,Email,Tim Bauer,Network,Closed,Berlin,4.5
INC-100532,2025-08-18 17:00:00,,Low,Software,Nina Falk,Infrastructure,In Progress,Munich,
INC-100467,2025-08-18 19:00:00,,Medium,Email,David Ross,Infrastructure,Open,Remote,
INC-101078,2025-08-18 19:00:00,2025-08-18 23:39:54.337320248,Medium,Software,David Ross,Infrastructure,Closed,Hamburg,4.3
INC-100187,2025-08-18 21:00:00,2025-08-20 05:59:14.263478141,High,Hardware,Noah Fischer,Security,Resolved,Frankfurt,4.3
